motif,oxidation,barrier,renewal,copper_yield,tof,size,states,residual,oxygen_balance_error,sulfur_balance_error,oxygen_coverage,sulfate_coverage,bare_coverage
pair,0.16,0.95,0.31622776601683794,0.0,0.0,2,10,1.3091481719919327e-12,-3.328934350399493e-13,-1.8189894035458565e-12,0.16895666536020545,0.0,0.6640263096408592
path3,0.16,0.95,0.31622776601683794,0.002882946295047058,0.0009116676664292509,3,94,3.2845783204948617e-12,5.942431442751417e-12,6.621922628291532e-12,0.09269667839744479,0.06498260824497418,0.6640263096443639
triangle,0.16,0.95,0.31622776601683794,0.002887206525962432,0.0009130148697343354,3,127,7.815704101201472e-11,4.592559839367016e-12,-7.48658522328749e-11,0.13980297844932296,0.06507863532606539,0.664026309643482
path4,0.16,0.95,0.31622776601683794,0.0028473286319505744,0.0009004043723975095,4,679,5.258057278568235e-11,1.3249388565450548e-12,6.584227477471338e-11,0.09812727513931538,0.06417977378045876,0.664026309641767
star4,0.16,0.95,0.31622776601683794,0.0036393355556148138,0.0011508589525377202,4,740,5.103407819252975e-12,2.3861043349504563e-12,1.6985544915026907e-14,0.05412770269826989,0.08203188421916047,0.6640263096418484
square,0.16,0.95,0.31622776601683794,0.004427134588706129,0.0013999828808424117,4,842,1.5518466100038306e-10,1.4010268639674806e-12,1.6125859848836743e-10,0.10158945954229165,0.09978914734745037,0.6640263096417153
single,0.16,0.95,1.0,0.0,0.0,1,3,5.865136100574339e-13,4.5536491244391186e-17,-9.094947017729282e-13,0.0,0.0,0.8620689655172414
pair,0.16,0.95,1.0,0.0,0.0,2,10,1.1523814976078046e-12,-1.0561967966893349e-12,-3.637978807091713e-12,0.03342685451215343,0.0,0.8620689655167861
path3,0.16,0.95,1.0,0.0003063731387518383,0.0003063731387518383,3,94,8.271264227770617e-13,-3.0443175107544573e-12,-1.125616201809454e-12,0.03048989845296676,0.0069057566864420845,0.8620689655166414
triangle,0.16,0.95,1.0,0.00030705346508796955,0.00030705346508796955,3,127,7.0780739698318565e-12,-2.469579553875112e-12,-1.2404965401245638e-11,0.045773185835490116,0.006921091477817522,0.8620689655165795
path4,0.16,0.95,1.0,0.0003650493933296023,0.0003650493933296023,4,679,1.9540932399570688e-10,-8.093101709627515e-12,-2.0483083892214315e-10,0.03184833299572525,0.008228339792705349,0.8620689655162299
star4,0.16,0.95,1.0,0.0005123055945145262,0.0005123055945145262,4,740,7.145976052083295e-11,-9.322212272955266e-12,-8.214890139662812e-11,0.024633032956888297,0.011547545582424271,0.8620689655161029
square,0.16,0.95,1.0,0.0006576792659920924,0.0006576792659920924,4,842,3.936002976030528e-10,-7.220369701438356e-12,-4.142493357887911e-10,0.034596062875134594,0.014824318499995319,0.8620689655162618
single,0.16,0.95,3.1622776601683795,0.0,0.0,1,3,3.8169736360499977e-13,-1.0625181290357943e-16,0.0,0.0,0.0,0.9518402685247292
pair,0.16,0.95,3.1622776601683795,0.0,0.0,2,10,3.953357629491999e-13,-1.5232259897857148e-13,-2.2737367544323206e-13,0.004421710437248209,0.0,0.9518402685247064
