motif,temperature,diffusion,tof,size,states,residual,oxygen_balance_error,sulfur_balance_error,oxygen_coverage,sulfate_coverage,bare_coverage
pair,745,100.0,0.0,2,5,1.1112072191272694e-11,-1.6282530879152546e-12,-1.397237880951252e-11,0.9999251595521872,0.0,0.0
path3,745,100.0,1.238855986752429,3,59,3.888043048927562e-11,2.5428548156014585e-12,3.551470229012921e-11,0.999593807350304,0.0,0.0
triangle,745,100.0,3.642864708336545,3,60,1.7109464728355584e-11,2.3945290195115376e-12,-1.6139978242790676e-11,0.9992457447917605,0.0,0.0
path4,745,100.0,1.871145520904747,4,248,1.8095180547716617e-10,1.80926384985014e-10,1.4222134581132195e-10,0.9994807741477116,0.0,0.0
star4,745,100.0,5.461177760653879,4,247,4.449577094656852e-09,3.1367619612865383e-10,-3.729383024619892e-09,0.9986036378954494,0.0,0.0
square,745,100.0,3.5296210046471357,4,249,3.3670613902005553e-09,-1.659437032230926e-10,-3.0215012714052136e-09,0.9992821951595307,0.0,0.0
path5,745,100.0,3.982025506274502,5,1011,3.282673567538567e-09,1.0629719326971099e-10,-2.7364492893866554e-09,0.9990378117981168,0.0,0.0
square_tail,745,100.0,8.75551994983877,5,1012,5.140626912633815e-10,2.2377122377292835e-10,8.692779829289066e-11,0.9983176141233384,0.0,0.0
rectangle6,745,100.0,16.78028968714666,6,4079,2.482708985218191e-09,-9.791847332962789e-10,-1.3521628261514707e-09,0.9972561254970199,0.0,0.0
single,745,10000.0,0.0,1,2,3.960490800060306e-12,0.0,7.275957614183426e-12,0.0,0.0,0.0
pair,745,10000.0,0.0,2,5,1.3501814078981834e-12,-7.087663789206999e-13,-1.184385922670117e-12,0.9999251595521871,0.0,0.0
path3,745,10000.0,1.7912578397619752,3,59,7.951820986503479e-12,3.873346088312246e-12,1.283328998624711e-11,0.9994435820990961,0.0,0.0
triangle,745,10000.0,3.642864708336982,3,60,3.394419103398565e-11,1.978861519091879e-12,-3.183941998941009e-11,0.9992457447917604,0.0,0.0
path4,745,10000.0,2.8575855455696324,4,248,1.5078624870442916e-10,-1.410942473967225e-10,-1.7978507571569935e-10,0.999239063296977,0.0,0.0
star4,745,10000.0,5.321114507771016,4,247,3.0698057176629444e-09,7.347722430495196e-11,2.853955294312982e-09,0.9986331235482785,0.0,0.0
square,745,10000.0,4.936642235798363,4,249,3.5854226265707376e-09,-6.094325044614379e-10,-3.647983248811215e-09,0.9990187385822275,0.0,0.0
path5,745,10000.0,7.34179286160834,5,1011,3.122482763475016e-09,-3.944222726204316e-11,-2.5091821953537874e-09,0.9982671112890242,0.0,0.0
square_tail,745,10000.0,14.357487189835325,5,1012,4.365694319019909e-10,-6.266986929404084e-11,4.232276751281461e-10,0.9972711796315542,0.0,0.0
rectangle6,745,10000.0,30.743373502455132,6,4079,6.308122939262274e-09,-2.4892301553336438e-09,-7.268624813150382e-09,0.9950001263207918,0.0,0.0
single,745,1000000.0,0.0,1,2,3.960490800060306e-12,0.0,7.275957614183426e-12,0.0,0.0,0.0
pair,745,1000000.0,0.0,2,5,5.25577947507579e-12,-7.267519919196275e-13,-5.0603965462414635e-12,0.9999251595521871,0.0,0.0
path3,745,1000000.0,2.547039440031226,3,59,2.6293816542027932e-11,3.931077685592754e-12,2.802025278469955e-11,0.9992444948735902,0.0,0.0
triangle,745,1000000.0,3.642864708337408,3,60,3.493901655028311e-11,-2.2080115513745113e-12,-3.0734526035303134e-11,0.9992457447917605,0.0,0.0
path4,745,1000000.0,4.917413084537261,4,248,1.497200009191273e-10,1.496829327152227e-10,1.319335751759354e-10,0.9987572871014522,0.0,0.0
star4,745,1000000.0,4.984753074729623,4,247,2.42827603591011e-09,-7.812701596776606e-10,-3.1178686299426772e-09,0.9987422094501176,0.0,0.0
square,745,1000000.0,6.2426405965479415,4,249,9.099664380976814e-09,2.2377832920028595e-10,7.779409116892566e-09,0.9987858555599904,0.0,0.0
path5,745,1000000.0,18.175688775541605,5,1011,1.77457396499107e-09,-2.0521895294223214e-10,-1.7575700894667534e-09,0.9958689937049157,0.0,0.0
square_tail,745,1000000.0,21.62046147500705,5,1012,1.1669524536396842e-10,-1.8752643882180564e-10,-2.0378365661599673e-11,0.9959912497572135,0.0,0.0
rectangle6,745,1000000.0,50.170151022251616,6,4079,5.368168311988929e-09,1.2227019396959804e-09,-2.95960944640683e-09,0.9920138520018831,0.0,0.0
single,823,0.0,0.0,1,2,2.604883141213076e-13,0.0,0.0,0.0,0.0,0.0
pair,823,0.0,0.0,2,5,7.2147892469945674e-12,6.927791673660977e-14,9.556799795973347e-12,0.9990652002418093,0.0,0.0
path3,823,0.0,14.714854567478456,3,43,2.628265598508402e-11,-1.390532133882516e-11,-4.026645683552488e-11,0.9962686527736473,0.0,0.0
triangle,823,0.0,43.825528550772965,3,60,6.608272916997363e-11,-8.213874025386758e-12,7.463540896424092e-11,0.9931930935856507,0.0,0.0
path4,823,0.0,22.586946135606624,4,212,1.652247858134085e-09,-6.131557483968209e-10,-3.8546943414985435e-10,0.9952726370448626,0.0,0.0
star4,823,0.0,48.94995787461927,4,211,6.888421888541686e-10,-6.577920430572703e-10,-5.290416993375402e-10,0.9906611161851759,0.0,0.0
square,823,0.0,43.54313751523099,4,225,2.0685591012352427e-09,-1.6354988474631682e-09,-1.4498766631731996e-09,0.9934288329404339,0.0,0.0
path5,823,0.0,38.60640959410483,5,931,1.0262597850841053e-08,-6.116351869422942e-10,5.688860937880236e-09,0.9929837891906788,0.0,0.0
square_tail,823,0.0,80.72056560864776,5,956,9.047299653645665e-10,-1.091677859221818e-09,-1.168643848359352e-09,0.988538628090523,0.0,0.0
rectangle6,823,0.0,142.8760138640267,6,3991,1.0245797362501781e-08,-3.305444806755986e-09,-3.5090579331154004e-09,0.9828910838279685,0.0,0.0
single,823,100.0,0.0,1,2,2.604883141213076e-13,0.0,0.0,0.0,0.0,0.0
pair,823,100.0,0.0,2,5,5.758529854459632e-12,6.927791673660977e-14,3.0411229090532288e-12,0.9990652002418093,0.0,0.0
path3,823,100.0,14.838392616503512,3,59,4.988359243860989e-11,-1.0672351891116705e-11,-6.676259545201901e-11,0.9962443602313434,0.0,0.0
triangle,823,100.0,43.825528550776085,3,60,9.364632446372899e-11,5.5138116294983774e-12,6.403411134670023e-11,0.9931930935856498,0.0,0.0
path4,823,100.0,22.7806273795615,4,248,2.138616654634001e-09,2.0994690430597984e-09,2.256754783047654e-09,0.9952379424446933,0.0,0.0
star4,823,100.0,49.28974644504257,4,247,1.2461417183013464e-09,-1.3336034498934168e-09,-1.5798775621078676e-09,0.9905999151792869,0.0,0.0
square,823,100.0,43.90736201872236,4,249,2.1797781202402464e-08,1.9419701402512146e-09,1.9478875401546247e-08,0.9933791866843453,0.0,0.0
path5,823,100.0,39.037777721186345,5,1011,1.2878636571898323e-08,-3.212647925465717e-09,-1.3532144294003956e-08,0.9929121127652261,0.0,0.0
square_tail,823,100.0,81.65918277009249,5,1012,7.411557781417311e-09,1.0863914212677628e-09,-4.692537913797423e-09,0.9884111829188342,0.0,0.0
rectangle6,823,100.0,144.81793534143227,6,4079,9.429803414884028e-08,-1.0941221262328327e-09,-7.05214233676088e-08,0.9826636045156317,0.0,0.0
single,823,10000.0,0.0,1,2,2.604883141213076e-13,0.0,0.0,0.0,0.0,0.0
pair,823,10000.0,0.0,2,5,2.432293197607472e-12,6.217248937900877e-14,-1.5845103007450234e-12,0.9990652002418093,0.0,0.0
path3,823,10000.0,21.451436315215897,3,59,8.827277984185274e-12,8.86757334228605e-12,1.7905676941154525e-12,0.9949356231206512,0.0,0.0
